surname,first_names,age,boarded,class,survivor_victim,lifeboat_number
Allen,Miss Elisabeth Walton,29,Southampton,1st,S,NA
Allison,Master Hudson Trevor,11m,Southampton,1st,S,NA
Anderson,Mr Harry,47,Southampton,1st,S,NA
Andrews,Miss Kornelia Theodosia,62,Cherbourg,1st,S,NA
Appleton,Mrs Charlotte,53,Southampton,1st,S,NA
Astor,Mrs Madeleine Talmage,18,Cherbourg,1st,S,NA
Aubart,Mme. Léontine Pauline “Ninette”,24,Cherbourg,1st,S,NA
Barber,Miss Ellen Mary (Maid to Mrs Tyrell William Cavendish),26,Southampton,1st,S,NA
Barkworth,Mr Algernon Henry,47,Southampton,1st,S,NA
Bassani,Mrs Albina (Maid to Mrs William Robert Bucknell),32,Cherbourg,1st,S,NA
Baxter,Mrs Hélène,50,Cherbourg,1st,S,NA
Beckwith,Mr Richard Leonard,37,Southampton,1st,S,NA
Beckwith,Mrs Sallie,46,Southampton,1st,S,NA
Behr,Mr Karl Howell,26,Cherbourg,1st,S,NA
Bessette,Miss Nellie Mayo (Maid to Mrs Ella Holmes White),39,Cherbourg,1st,S,NA
Bidois,Miss Rosalie (Maid to Mrs John Jacob Astor),46,Cherbourg,1st,S,NA
Bird,Miss Ellen (Maid to Mr & Mrs Isodor Straus),31,Southampton,1st,S,NA
Bishop,Mr Dickinson H.,25,Cherbourg,1st,S,NA
Bishop,Mrs Helen,19,Cherbourg,1st,S,NA
Björnström-Steffansson,Mr Mauritz Hokan,28,Southampton,1st,S,NA
Blank,Mr Henry,39,Cherbourg,1st,S,NA
Bonnell,Miss Caroline,30,Southampton,1st,S,NA
Bonnell,Miss Elizabeth,61,Southampton,1st,S,NA
Bowen,Miss Grace Scott (Maid to Mr & Mrs Arthur Ryerson),45,Cherbourg,1st,S,NA
Bowerman,Miss Elsie Edith,22,Southampton,1st,S,NA
Brereton,Mr George Andrew,37,Southampton,1st,S,NA
Brown,Mrs Caroline Lane,59,Southampton,1st,S,NA
Brown,Mrs Margaret “Molly”,44,Cherbourg,1st,S,NA
Bucknell,Mrs Emma Eliza,58,Cherbourg,1st,S,NA
Burns,Miss Elizabeth Margaret (Nanny to Master Robert Douglas Spedden),41,Cherbourg,1st,S,NA
Calderhead,Mr Edward Pennington,42,Southampton,1st,S,NA
Candee,Mrs Helen Churchill,52,Cherbourg,1st,S,NA
Cardeza,Mrs Charlotte Wardle,58,Cherbourg,1st,S,NA
Cardeza,Mr Thomas Drake Martinez,36,Cherbourg,1st,S,NA
Carter,Mr William Ernest,36,Southampton,1st,S,NA
Carter,Mrs Lucile,36,Southampton,1st,S,NA
Carter,Miss Lucile Polk,13,Southampton,1st,S,NA
Carter,Master William Thornton II,11,Southampton,1st,S,NA
Cassebeer,Mrs Eleanor Genevieve,36,Cherbourg,1st,S,NA
Cavendish,Mrs Julia Florence,25,Southampton,1st,S,NA
Chaffee,Mrs Carrie Constance,47,Southampton,1st,S,NA
Chambers,Mr Norman Campbell,27,Southampton,1st,S,NA
Chambers,Mrs Bertha,32,Southampton,1st,S,NA
Chaudanson,Miss Victorine (Maid to Mrs Emily Ryerson),36,Cherbourg,1st,S,NA
Cherry,Miss Gladys,30,Southampton,1st,S,NA
Chevré,Mr Paul Romaine Marie Léonce,45,Cherbourg,1st,S,NA
Chibnall,Mrs Edith Martha Bowerman,48,Southampton,1st,S,NA
Clark,Mrs Virginia Estelle,26,Cherbourg,1st,S,NA
Cleaver,Miss Alice Catherine (Nanny to Master Hudson Trevor Allison),22,Southampton,1st,S,NA
Compton,Mrs Mary Eliza,64,Cherbourg,1st,S,NA
Compton,Miss Sara Rebecca,39,Cherbourg,1st,S,NA
Cornell,Mrs Malvina Helen,55,Southampton,1st,S,NA
Crosby,Mrs Catherine Elizabeth,64,Southampton,1st,S,NA
Crosby,Miss Harriette Rebecca,39,Southampton,1st,S,NA
Cumings,Mrs Florence Briggs,35,Cherbourg,1st,S,NA
Daniel,Mr Robert Williams,27,Southampton,1st,S,NA
Daniels,Miss Sarah Rebecca (Maid to Mr & Mrs Allison),33,Southampton,1st,S,NA
Davidson,Mrs Orian,27,Cherbourg,1st,S,NA
Dick,Mr Albert Adrian,31,Southampton,1st,S,NA
Dick,Mrs Vera,17,Southampton,1st,S,NA
Dodge,Dr Washington,52,Southampton,1st,S,NA
Dodge,Mrs Ruth,34,Southampton,1st,S,NA
Dodge,Master Washington,4,Southampton,1st,S,NA
Douglas,Mrs Mahala,48,Cherbourg,1st,S,NA
Douglas,Mrs Mary Hélène,27,Cherbourg,1st,S,NA
Duff Gordon,Sir Cosmo Edmund,49,Cherbourg,1st,S,NA
